,0
0,0
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,0
214,1
215,0
216,0
217,1
218,1
219,0
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,1
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,1
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,1
325,0
326,0
327,1
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,1
337,1
338,1
339,0
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,1
415,1
416,1
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,1
428,1
429,0
430,1
431,1
432,1
433,1
434,0
435,1
436,0
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,1
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,0
525,1
526,0
527,1
528,1
529,1
530,1
531,1
532,0
